,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Bruno Petković,,,,,,,,7.13,7.56,
Marco Fossati,,,,,,,,6.01,,
Bruno Zuculini,,,,,,,,7.08,,
Thomas Heurtaux,,,,,,,,7.96,6.51,8.03
Marcel Büchel,,,,,,,,7.47,6.78,7.14
Franco Zuculini,,,,,,,,6.88,,7.52
Gian Filippo Felicioli,,,,,,,,7.36,,
Samuel Souprayen,,,,,,,,5.44,,5.85
Simone Calvano,,,,,,,,5.4,,
Enrico Bearzotti,,,,,,,,5.64,,
Cheick Diabaté,,,,,,,,7.67,6.1,7.0
Massimo Coda,,,,,,,,6.54,,
Luca Antei,,,,,,,,5.64,6.97,6.0
Christian Puggioni,,,,,,,,6.33,5.67,
Cristiano Lombardi,,,,,,,,7.37,6.65,
Ledian Memushaj,,,,,,,,7.69,7.53,
Samuel Armenteros,,,,,,,,5.39,,
Karamoko Cissé,,,,,,,,7.21,,
Pietro Iemmello,,,,,,,,7.31,5.62,
Mamadou Kanouté,,,,,,,,7.43,,
Jean-Claude Billong,,,6.33,7.71,,,,6.98,,
Bright Gyamfi,,,,,,,,7.1,,
Gianluca Di Chiara,,,,,,,,6.82,,
Achraf Lazaar,,,,,,,,5.81,,6.59
Luca Sparandeo,,,,,,,,5.77,,
Nicolás Burdisso,,,,,,,,7.13,7.84,7.84
Samuel Gustafson,,,,,,,,7.1,5.58,
Riccardo Montolivo,,,,,,,,6.56,6.98,5.89
Emanuele Torrasi,,,,,,,,7.31,,
Claudio Marchisio,,,,,,,,5.95,8.04,6.55
Gabriele Angella,,,,,,,,6.29,7.75,
Albano Bizzarri,,,,,,,,7.24,7.83,7.88
Simone Pontisso,,,,,,,,6.68,,
Maxi López,,,,,,,,6.32,6.72,6.52
Riad Bajić,,,,,,,,7.74,,
Dušan Basta,,,,,,,,6.62,5.91,5.76
Davide Di Gennaro,,,,,,,,6.8,6.82,
Simone Palombi,,,,,,,,6.06,,
Michele Cremonesi,,,,,,,,7.71,,
Sauli Väisänen,,,,,,,,7.35,,
Marco Borriello,,,,,,,,5.25,8.2,6.72
Boukary Dramé,,,,,,,,5.77,5.55,6.01
Eros Schiavon,,,,,,,,6.87,,
Mattia Vitale,,,,,,,,7.11,,
Lisandro López,,,,,,,,5.52,,
Yuto Nagatomo,,,,,6.04,,,5.94,6.27,7.26
Ivan Strinić,,,,,,,,7.36,7.0,8.08
Ricky Álvarez,,,,,,,,5.48,6.22,5.6
Ognjen Stijepović,,,,,,,,7.26,,
Antonio Santurro,,,,,,,,5.94,,
Saphir Taïder,,,,,,,,6.33,6.07,5.66
Cesar Falletti,,,,,,,,7.45,,
Vasilis Torosidis,,,,,,,,5.93,6.98,7.42
Felipe Avenatti,,,,,,,,5.77,,
Cheick Keita,,,5.91,,,,,6.13,,
Davide Astori,,,,,,,,7.35,7.17,5.84
Rafik Zekhnini,,,,,,,,5.91,,
Simone Lo Faso,,,,,,,,5.99,6.67,
Dario Dainelli,,,,,,,,6.52,8.21,6.77
Gianluca Gaudino,,,,,,,,6.38,,
Alessandro Gamberini,,,,,,,,6.24,7.24,5.84
Samuel Bastien,,,,,,,,7.53,5.39,
Luca Vido,,,,,,,,6.08,,
Luca Rizzo,,,,,,,,5.68,7.42,7.15
Eddy Gnahoré,,,,,,6.75,6.81,,6.5,
Claiton,,,,,,,,,6.38,
Maxwell Acosty,,,,,,,,,6.2,
Djamel Mesbah,,,,,,,,,5.92,7.21
Pietro De Giorgio,,,,,,,,,6.89,
Nunzio Di Roberto,,,,,,,,,7.01,
Aniello Salzano,,,,,,,,,7.67,
Ćazim Suljić,,,,,,,,,5.73,
Andrej Kotnik,,,,,,,,,6.42,
Nicolò Fazzi,,,,,,,,,6.32,
Emanuele Terranova,,,,,,,,,7.32,5.74
Nikola Ninković,,,,,,,,,6.53,6.78
Edenílson,,,,,,,,,6.18,5.83
Olivier Ntcham,,,,,7.3,,,,7.49,8.2
Mauricio Pinilla,,,,,,,,,6.32,6.75
Giovanni Marchese,,,,,,,,,5.79,6.76
Rubinho,,,,,,,,,8.0,
Uroš Ćosić,,,,,,,,,6.47,7.99
Giuseppe Bellusci,,,,,,,,,7.36,
Omar El Kaddouri,,,,,,,,,8.11,6.97
Guido Marilungo,,,,,,,,,7.99,
Massimo Maccarone,,,,,,,,,7.8,6.84
Alberto Pelagotti,,,,,,,,,6.79,8.34
Daniele Croce,,,,,,,,,6.92,7.22
Marco Zambelli,,,,,,,,,5.94,6.97
Danilo Avelar,,,,,,,,6.11,8.06,6.08
Giuseppe Vives,,,,,,,,,7.3,7.24
Carlão,,,,,,,,,6.89,
Gabriel Paletta,,,,,,,,,5.88,5.8
José Sosa,,,,,,,,,5.78,
Keisuke Honda,,,,,,,,,6.29,7.74
Matías Fernández,6.52,,,,,,,,7.03,7.41
Gustavo Gómez,,,,,,,,,6.67,
Leonel Vangioni,,,,,,,,,7.86,
Marco Storari,,,,,,,,,5.41,
Luiz Adriano,,,,,,,,,6.73,6.76
Hernanes,,,,,,,,,7.45,7.92
Sven Kums,,,,,,,,,7.09,
Lucas Evangelista,,,,,,,8.06,,7.23,
Pablo Armero,,,,,,,,,6.3,6.91
Assane Gnoukouri,,,,,,,,,5.61,7.16
Francesco Lodi,,,,,,,,,6.04,5.72
Luca Crecco,,,,,,,,,7.48,
Alessandro Rossi,,,,,,,,,5.52,
Ricardo Kishna,,,,,,,,,5.87,6.75
Ivan Vargić,,,,,,,,,6.45,
Gabriel Barbosa,,,,,,,,,5.85,
Felipe Melo,,,,,,,,,6.89,5.86
Trent Sainsbury,,,,,,,,,7.76,
Juan Pablo Carrizo,,,,,,,,,6.51,5.46
Angelo Palombo,,,,,,,,,6.43,7.56
Mirko Eramo,,,,,,,,,5.81,
Archimede Morleo,,,,,,,,,8.0,6.7
Gonzalo Rodríguez,,,,,,,,,7.5,8.33
Hrvoje Milić,,,,,,,,,7.3,
Jan Mlakar,,,,,,,,,5.82,
Joshua Pérez,,,,,,,,,6.34,
Kevin Diks,,,,,,,,,5.1,
Cesare Bovo,,,,,,,,,7.08,7.71
Jean-Christophe Bahebeck,,,,,,,,,7.94,5.68
Robert Murić,,,,,,,,,5.88,
Hugo Campagnaro,,,,,,,,,6.4,
Hrvoje Miličević,,,,,,,,,5.99,
Stefano Pettinari,,,,,,,,,6.46,
Alessandro Bruno,,,,,,,,,7.64,
Alexandru Mitriță,,,,,,,,,6.61,
Michele Fornasier,,,,,,,,,5.8,
Guglielmo Stendardo,,,,,,,,,5.34,7.48
Simone Pepe,,,,,,,,,6.91,5.94
Alessandro Crescenzi,,,,,,,,,6.73,
Alberto Gilardino,,,,,,,,,7.41,7.2
Andrea Coda,,,,,,,,,6.52,6.38
Dario Župarić,,,,,,,,,6.84,
Davide Vitturini,,,,,,,,,5.74,
Andrés Cubas,,,,,7.4,,,,5.53,
Andrea Fulignati,,,,,,,,,8.06,
Ivaylo Chochev,,,,,,,,,5.74,7.67
Siniša Anđelković,,,,,,,,,6.96,7.55
Alessandro Gazzi,,,,,,,,,8.11,7.49
Accursio Bentivegna,,,,,,,,,7.39,5.36
Josip Posavec,,,,,,,,,6.82,6.88
Norbert Balogh,,,,,,,,,5.75,7.53
Roberto Vitiello,,,,,,,,,5.35,6.76
Michel Morganella,,,,,,,,,6.23,5.99
Haitam Aleesami,,,,,,5.7,,,5.25,
Gennaro Ruggiero,,,,,,,,,6.3,
Stefan Silva,,,,,,,,,5.35,
Ouasim Bouy,,,,,,,,,6.22,
Antonio Floro Flores,,,,,,,,,7.79,6.68
Serge Gakpé,,,,,,,,7.08,6.89,5.56
Gennaro Sardo,,,,,,,,,7.45,6.89
Lamin Jallow,,,,,,,,,6.95,
Bryan Cabezas,,,,,,,,,5.94,
Abdoulay Konko,,,,,,,,,5.38,7.41
Anthony Mounier,,,,,,,,,6.51,7.3
Cristian Raimondi,,,,,,,,,7.53,7.05
Giulio Migliaccio,,,,,,,,,6.09,6.33
Aleksandar Pešić,,,,,,,,,5.22,7.31
Francesco Totti,,,,,,,,,5.72,8.3
Federico Melchiorri,,,,,,,,,7.29,
Mauricio Isla,,,,,,,,,6.17,6.17
Federico Serra,,,,,,,,,7.78,
Gianni Munari,,,,,,,,,6.05,
Luca Bittante,,,,,,,,,5.9,7.81
Issa Cissokho,,,,,,,,7.07,7.14,7.49
Diego Capel,,,,,,,,,,6.71
Karim Laribi,,,,,,,,,,7.23
Alessandro Longhi,,,,,,,,,,7.46
Eros Pisano,,,,,,,,,,8.19
Urby Emanuelson,,,,,,,,,,7.38
Vangelis Moras,,,,,,,,,,6.12
Leandro Greco,,,,,,,,,,6.26
Luca Toni,,,,,,,,,,6.09
Michelangelo Albertazzi,,,,,,,,,,8.0
Rafael Márquez,,,,,,,,,,5.5
Luca Checchin,,,,,,,,,,6.96
Paweł Wszołek,,,,,,,,,,7.11
Matuzalém,,,,,,,,,,6.01
Boško Janković,,,,,,,,,,7.47
Ferdinando Coppola,,,,,,,,,,7.57
Dominik Furman,,,,,,,,,,7.24
Maurizio Pugliesi,,,,,,,,,,8.15
Rolando,,,,,,,8.02,7.9,7.63,6.06
Franco Signorelli,,,,,,,,,,6.51
Alessandro Piu,,,,,,,,,,6.81
Luca Martinelli,,,,,,,,,,7.28
Michele Camporese,,,,,,,,,,6.23
Alexander Farnerud,,,,,,,,,,7.56
Amauri,,,,,,,,,,6.26
Christian Abbiati,,,,,,,,,,6.11
Philippe Mexès,,,,,,,,,,6.47
Alex,,,,,,,,,,8.04
Jérémy Ménez,,,,,,,,,7.1,5.55
Antonio Nocerino,,,,,,,,,,7.53
Antonio Di Natale,,,,,,,,,,5.61
Iván Piris,,,,,,,,,,7.74
Rodrigo Aguirre,,,,,,,,,,6.23
Marquinho,,,,,,,,,,6.9
Giovanni Pasquale,,,,,,,,,,6.45
Alexander Merkel,,,,,,,,,,6.13
Maurizio Domizzi,,,,,,,,,,6.89
Milan Biševac,,,,,,,,7.48,5.55,6.5
Miroslav Klose,,,,,,,,,,7.35
Ogenyi Onazi,,,,,,,,,,5.7
Maurício,,,,,,,,,,8.15
Stefano Mauri,,,,,,,,,,7.57
Edson Braafheid,,,,,,,,,,6.72
Leonardo Blanchard,,,,,,,,,,7.36
Robert Gucher,,,,,,,,,,6.43
Adriano Russo,,,,,,,,,,6.03
Alessandro Frara,,,,,,,,,,6.73
Massimo Zappino,,,,,,,,,,5.76
Matteo Ciofani,,,,,,,,,,5.62
Vasyl Pryima,,,,,,,,,,5.5
Nicolás Castillo,,,,,,,,,,7.37
Massimiliano Carlini,,,,,,,,,,7.34
Roberto Crivello,,,,,,,,,,7.51
Davide Bertoncini,,,,,,,,,,7.27
Fredy Guarín,,,,,,,,,,8.23
Fabio Della Giovanna,,,,,,,,,,5.97
Antonio Cassano,,,,,,,,,,5.76
Carlos Carbonero,,,,,,,,,,7.03
Dávid Ivan,,,,,,,,,,5.46
Mattia Cassani,,,,,,,,,,5.66
Modibo Diakité,,,,,,,,,,7.44
Lazaros Christodoulopoulos,,,,,,,,,,7.28
Michele Rocca,,,,,,,,,,5.29
Franco Brienza,,,,,,,,,,5.84
Aaron Tabacchi,,,,,,,,,,6.4
Robert Acquafresca,,,,,,,,,,6.94
Kévin Constant,,,,,,,,,,5.2
Tino Costa,,,,,,,,,,5.87
Abdelhamid El Kaoutari,,,,,,,,,7.3,6.73
Enzo Maresca,,,,,,,,,,6.67
Aljaž Struna,,,,,,,,,,6.34
Uroš Đurđević,,,,,,,,,,7.83
Fabrizio Alastra,,,,,,,,,,5.97
Giampiero Pinzi,,,,,,,,,,6.46
Paul-Jose M'Poku,,,,,,,,,,8.02
Dani Morer,,,,,,,,,,6.18
Luigi Giorgi,,,,,,,,,,6.0
Germán Denis,,,,,,,,,,5.83
Nicolò Cherubin,,,,,,,,,,7.08
Gianpaolo Bellini,,,,,,,,,,6.91
Gaetano Monachello,,,,,,,,,,6.99
Davide Brivio,,,,,,,,,,7.06
Marcelo Estigarribia,,,,,,,,,,6.39
Davide Bassi,,,,,,,,,,7.21
Seydou Keita,,,,,,,,,,6.3
Morgan De Sanctis,,,,,,,,,5.43,5.49
William Vainqueur,,,,,,7.14,6.4,,7.1,5.45
Lorenzo Di Livio,,,,,,,,,,6.94
Andrea Lazzari,,,,,,,,,,7.96
Cristian Zaccardo,,,,,,,,,,6.76
Lorenzo Lollo,,,,,,,,,,6.8
Lorenzo Pasciuti,,,,,,,,,,7.58
Raffaele Bianco,,,,,,,,,,7.56
Jerry Mbakogu,,,,,,,,,,6.56
Marco Crimi,,,,,,,,,,6.06
Francesco Benussi,,,,,,,,,,5.71
Emanuele Suagher,,,,,,,,,,7.95
Matteo Fedele,,,,,,,,,,7.18
Kamil Wilczek,,,,,,,,,,7.72
Fabrizio Poli,,,,,,,,,,6.77
Matteo Mancosu,,,,,,,,,,6.93
Igor Bubnjić,,,,,,,,,,5.97
Fabio Daprelà,,,,,,,,,,5.91
Filippo Porcari,,,,,,,,,,5.43
Raphael Martinho,,,,,,,,,,5.81
Željko Brkić,,,,,,,,,,5.03
João Neves,9.09,,,,,,,,,
Gonçalo Ramos,6.93,7.44,,,,,,,,
Bradley Barcola,8.34,7.07,6.03,6.2,,,,,,
Nuno Mendes,6.54,5.76,8.4,6.9,,,,,,
Marquinhos,6.72,7.42,7.49,7.51,6.25,7.55,6.17,7.39,6.22,5.88
Warren Zaïre-Emery,12.0,6.43,5.25,,,,,,,
Désiré Doué,7.65,5.79,7.09,,,,,,,
Matvei Safonov,7.19,,,,,,,,,
Lucas Beraldo,6.67,5.87,,,,,,,,
Yoram Zague,6.66,7.2,,,,,,,,
Senny Mayulu,6.2,8.19,,,,,,,,
Ibrahim Mbaye,5.74,,,,,,,,,
Yanis Zouaoui,6.97,,,,,,,,,
Christopher Operi,6.9,5.78,,,,,,,,
Arthur Desmas,7.79,7.83,,6.18,,,,,,
Josué Casimir,8.17,6.9,,,,,,,,
Gautier Lloris,8.15,8.2,,,,5.86,,,,2.0
Loïc Nego,5.92,7.13,,,,,,,,
Daler Kuzyaev,7.76,5.73,,,,,,,,
Arouna Sangante,5.57,6.47,,,,,,,,
Yassine Kechta,5.87,5.91,,,,,,,,
Yoann Salmier,7.03,5.91,7.2,6.53,,,,7.22,,
Oussama Targhalline,7.01,5.62,,,,,,,,
Timothee Pembele,7.42,,7.04,6.44,5.99,,,,,
Rassoul Ndiaye,5.72,7.09,,,,,,,,
Etienne Youte Kinkoue,6.24,8.1,,,,,,,,
Issa Soumaré,6.75,6.95,,,,,,,,
Antoine Joujou,7.69,7.72,,,,,,,,
Steve Ngoura,7.87,5.32,,,,,,,,
Emmanuel Sabbi,7.01,7.16,,,,,,,,
Samuel Grandsir,5.74,7.76,,,,5.81,6.67,6.88,,7.2
Ilyes Housni,5.83,,7.19,,,,,,,
Kandet Diawara,7.59,,,,,,,,,
Karl-Johan Johnsson,6.45,,,,,,5.33,6.08,5.87,
Dilane Bakwa,5.87,7.25,,6.03,7.62,,,,,
Sebastian Nanasi,6.33,,,,,,,,,
Pape Sané,2.0,,,,,,,,5.33,
Guela Doué,7.68,5.79,5.36,,,,,,,
Diego Moreira,8.03,5.39,,,,,,,,
Habib Diarra,7.42,5.77,6.33,5.59,,,,,,
Mamadou Sarr,5.81,7.33,7.08,,,,,,,
Emanuel Emegha,7.66,7.28,,,,,,,,
Abou Ouattara,7.4,,,,,6.88,,,,
Ismaël Doukouré,5.72,7.95,7.25,6.47,,,,,,
Félix Lemaréchal,6.82,,7.27,6.54,,,,,,
Jérémy Sebas,6.78,6.05,,,,,,,,
Abakar Sylla,6.76,6.31,,,,,,,,
Óscar Perea,6.61,,,,,,,,,
Junior Mwanga,6.32,6.01,,2.0,,,,,,
Saidou Sow,6.42,7.71,,6.85,6.93,,,,,
Marvin Senaya,5.28,7.76,7.15,,,,,,,
Nordine Kandil,5.24,,7.22,6.05,,,,,,
Milos Lukovic,6.8,,,,,,,,,
Eduard Sobol,7.22,5.49,8.01,,,,,,,
Caleb Wiley,5.43,,,,,,,,,
Karol Fila,5.7,,5.28,7.23,,,,,,
Beres Owusu,7.57,,,,,,,,,
Mickael Nade,7.97,,,7.65,,,,,6.58,
Zuriko Davitashvili,7.85,,,,,,,,,
Gautier Larsonneur,7.82,,,,7.48,6.71,,,,
Léo Pétrot,7.74,,,7.37,,,,,,
Ibrahim Sissoko,6.79,,,,,,,,,
Louis Mouton,5.8,,,,,,,,,
Kévin Pedro,6.52,,,,,,,,,
Benjamin Bouchouari,6.35,,,,,,,,,
Benjamin André,5.81,7.55,7.7,4.0,5.67,7.14,6.18,6.5,7.63,7.7
Marwann Nzuzi,7.75,,,,,,,,,
Lucas Stassin,6.29,,,,,,,,,
Mathieu Cafaro,7.76,,,7.19,6.0,8.0,5.95,,6.61,
Augustine Boakye,7.66,,,,,,,,,
Yunis Abdelhamid,7.66,7.54,6.82,8.01,7.54,5.85,7.98,,5.83,
Dylan Batubinsika,5.94,,,,,,,,,
Yvann Macon,6.04,,,6.89,6.89,6.08,,,,
Florian Tardieu,6.62,,7.83,5.93,,,,,,
Ibrahima Wadji,7.03,,,,,,,,,
Aimen Moueffek,6.73,,,5.78,7.52,,,,,
Dennis Appiah,6.6,,5.49,7.32,6.2,5.69,,,,6.04
Lamine Fomba,5.35,,,,7.64,5.75,,,,
Mathis Amougou,6.28,,,,,,,,,
Jibril Othman,6.15,,,,,,,,,
Pierre Cornud,6.48,,,,,,,,,
Ayman Aiki,5.28,,,,,,,,,
Luis Henrique,6.86,7.23,8.34,6.48,7.43,,,,,
Valentin Rongier,6.4,6.01,5.86,6.04,8.39,6.29,7.37,6.58,7.7,7.64
Michael Amir Murillo,7.35,7.81,,,,,,,,
Quentin Merlin,7.57,5.71,6.24,5.9,,,,,,
Ismaël Koné,7.76,,,,,,,,,
Derek Cornelius,5.87,,,,,,,,,
Keyliane Abdallah,7.39,6.97,,,,,,,,
Bilal Nadir,7.9,7.93,,,,,,,,
Lilian Brassier,6.03,7.82,8.05,7.55,6.3,,,,,
Elye Wahi,5.57,5.41,5.81,7.64,5.44,,,,,
Enzo Sternal,6.8,,,,,,,,,
Bamo Meïté,5.86,8.13,6.2,,,,,,,
Faris Pemi Moumbagna,6.25,7.98,,,,,,,,
Alex Kirk,6.31,,,,,,,,,
Patrik Carlgren,8.25,,,,,,,,,
Nathan Zeze,6.61,6.93,6.85,,,,,,,
Johann Lepenant,7.08,6.51,6.14,,,,,,,
Bahereba Guirassy,5.78,,,,,,,,,
Matthis Abline,6.59,6.25,7.28,6.42,,,,,,
Dehmaine Assoumani,6.39,,,,,,,,,
Mostafa Mohamed,6.87,7.44,7.87,,,,,,,
Jean-Charles Castelletto,6.64,5.84,7.14,7.49,5.97,6.79,,,,
Marcus Coco,6.6,5.49,5.89,5.85,7.28,5.45,6.98,7.78,7.63,7.03
Nicolas Pallois,5.52,6.27,7.2,7.46,6.85,6.72,7.02,7.62,8.15,6.35
Jean-Kevin Duverne,6.2,5.47,5.5,6.17,6.48,6.16,,,,
Sorba Thomas,7.5,,,,,,,,,
Ignatius Ganago,6.8,7.83,6.76,6.16,7.8,6.76,5.83,5.43,,
Louis Leroux,7.85,,,,,,,,,
Brice Samba,6.94,7.47,6.02,,,,6.09,7.41,,
Abdukodir Khusanov,7.11,8.14,,,,,,,,
Przemysław Frankowski,8.47,8.23,6.32,5.92,,,,,,
Adrien Thomasson,7.88,6.37,7.09,6.85,5.96,6.26,6.31,7.84,5.53,5.78
Ruben Aguilar,7.14,8.21,7.28,6.19,7.48,6.9,5.73,7.81,,
Hamzat Ojediran,0.0,,,,,,,,,
Facundo Medina,6.76,7.59,7.98,8.24,8.05,,,,,
Jonathan Gradit,8.23,5.94,6.66,7.49,6.8,,7.66,,,
Jhoanner Chávez,8.04,5.64,,,,,,,,
Florian Sotoca,7.26,8.7,6.6,8.47,6.49,,,,,
Andy Diouf,8.06,5.51,,7.64,7.12,,,,,
Rémy Labeau Lascary,6.41,,5.63,,,,,,,
Wesley Saïd,6.86,6.91,6.39,7.05,,7.62,6.61,7.58,7.29,5.62
Deiver Machado,5.42,7.84,6.32,6.28,,,,,,
Neil El Aynaoui,6.17,7.15,,,,,,,,
Roli Pereira de Sa,6.04,7.73,6.04,7.85,6.69,2.0,,,,
Tom Pouilly,5.63,,,,,,,,,
Théo Sainte-Luce,6.25,6.84,5.84,,,6.59,,,,
Téji Savanier,7.43,8.38,7.98,8.75,6.28,8.28,6.93,,,
Yael Mouanga,12.0,,,,,,,,,
Khalil Fayad,6.18,6.03,5.78,,,,,,,
Arnaud Nordin,6.94,7.84,5.76,7.39,7.8,6.6,7.64,,6.84,
Dimitry Bertaud,7.41,6.92,,6.45,8.02,5.59,5.93,,,
Joris Chotard,6.47,8.23,6.11,6.61,5.75,5.44,,,,
Rabby Nzingoula,5.9,5.89,,,,,,,,
Musa Al-Taamari,7.25,5.8,,,,,,,,
Jordan Ferri,5.38,5.61,7.59,6.65,6.07,7.09,6.33,7.95,7.5,6.53
Issiaga Sylla,6.39,7.01,7.13,,5.81,5.9,5.77,5.49,5.65,6.95
Yanis Issoufou,6.45,7.15,,,,,,,,
Ryan Tchato Mbiayi,5.44,7.02,6.81,,,,,,,
Birama Touré,5.58,,7.43,,,,,,,6.86
Becir Omeragic,5.73,7.23,,,,,,,,
Junior Ndiaye,6.6,,,,,,,,,
Lucas Mincarelli,6.26,7.23,,,,,,,,
Othmane Maamma,5.51,6.64,,,,,,,,
Axel Gueguin,7.11,5.89,6.08,,,,,,,
Théo Chennahi,5.42,,,,,,,,,
Falaye Sacko,6.61,6.54,6.6,6.91,,,,,,
Boubakar Kouyaté,6.15,7.82,6.98,8.05,6.48,,,,,
Stefan Džodić,5.24,,,,,,,,,
Yahia Fofana,7.6,7.61,5.96,,,,,,,
Farid El Melali,8.29,,6.68,5.56,5.99,6.69,6.66,,,
Himad Abdelli,7.92,,7.5,,,,,,,
Jean-Eudes Aholou,7.09,,6.94,5.45,8.12,5.85,6.58,7.26,,
Florent Hanin,7.44,,,,,,,,,
Jordan Lefort,7.97,,,,,6.08,7.91,,,
Zinedine Ferhat,7.34,,,,6.3,7.59,,,,
Emmanuel Biumla,7.72,,,,,,,,,
Bamba Dieng,7.85,6.21,7.35,5.91,6.91,,,,,
Abdoulaye Bamba,6.49,,6.74,6.05,6.05,8.04,6.84,6.62,7.27,
Carlens Arcus,7.92,,,,,,,,,5.69
Haris Belkebla,7.52,,6.0,6.3,7.78,6.24,,,,
Esteban Lepaul,6.26,,,,,,,,,
Ibrahima Niane,7.44,,6.75,7.39,6.35,7.98,,6.81,,
Yassin Belkhdim,7.21,,,,,,,,,
Cédric Hountondji,7.45,,6.19,5.54,,,,,,
Jacques Ekomie,6.5,,,,,,,,,
Jim Allevinah,6.67,6.95,7.26,6.77,,,,,,
Pierrick Capelle,6.13,,6.41,7.55,7.96,6.65,7.42,5.39,7.94,6.97
Lois Diony,5.25,,6.54,,6.3,5.64,6.97,6.74,8.1,
Lilian Raolisoa,6.25,,5.6,,,,,,,
Zinédine Ould Khaled,5.33,,5.62,,6.78,6.05,,,,
Sidiki Cherif,5.64,,,,,,,,,
Marcin Bułka,5.97,5.99,6.87,6.0,5.41,8.3,,,,
Jonathan Clauss,6.41,7.54,8.21,8.36,7.45,,,,,
Youssouf Ndayishimiye,5.99,8.26,6.45,,,,,,,
Evann Guessand,8.27,7.52,6.22,6.28,5.63,,,,,
Rareş Ilie,8.54,,7.55,,,,,,,
Hicham Boudaoui,8.37,7.5,6.88,6.72,7.23,6.34,,,,
Sofiane Diop,5.89,7.69,7.28,7.5,6.24,,6.13,,,
Tom Louchet,7.51,5.86,,,,,,,,
Melvin Bard,6.69,7.59,7.11,6.2,6.18,6.49,,,,
Moïse Bombito,6.0,,,,,,,,,
Badredine Bouanani,8.07,7.04,6.73,,,,,,,
Gaëtan Laborde,7.42,5.5,5.86,5.72,7.07,8.25,5.72,7.32,6.65,5.5
Mohamed Abdelmoneim,6.57,,,,,,,,,
Pablo Rosario,6.92,7.65,7.35,6.83,,,,,,
Antoine Mendy,6.52,8.07,6.06,,,,,,,
Amidou Doumbouya,7.59,,,,,,,,,
Victor Orakpo,5.63,,,,,,,,,
Issiaga Camara,6.73,,,,,,,,,
Yael Nandjou,7.03,,,,,,,,,
Bilal Brahimi,6.71,6.2,6.45,7.03,,,,,,
Jordan Lotomba,5.52,7.61,8.14,6.79,6.37,,,,,
Donovan Léon,7.41,,8.18,,,7.4,,,,
Gaëtan Perrin,6.79,,7.24,,,,,,,7.48
Jubal,5.94,,6.1,,,,,,,
Sinaly Diomande,5.64,5.53,5.98,5.84,5.82,,,,,
Lassine Sinayoko,7.28,,5.66,,,,,,,
Lasso Coulibaly,7.31,,,,,,,,,
Gideon Mensah,7.59,,6.22,7.44,,,,,,
Kévin Danois,8.06,,,,,,,,,
Elisha Owusu,6.07,,,,,,,,,
Clément Akpa,5.73,,,,,,,,,
Rayan Raveloson,6.75,,7.53,,,,,,,
Theo Bair,5.83,,,,,,,,,
Paul Joly,5.39,,7.24,,,,,,,
Ben Viadere,7.01,,,,,,,,,
Théo Pellenard,6.85,,6.01,,,6.38,7.35,5.52,7.09,
Ado Onaiwu,7.26,,6.22,,,,,,,
Aristide Zossou,7.51,,,,,,,,,
Eros Maddy,5.56,,,,,,,,,
Benjamin Bourigeaud,7.57,7.04,8.77,7.7,8.52,7.61,6.46,5.85,,
Ludovic Blas,7.49,5.68,6.18,6.86,7.26,8.13,5.7,6.72,5.87,8.04
Alidu Seidu,6.08,7.61,6.56,7.66,,,,,,
Azor Matusiwa,8.36,6.06,8.21,6.45,,,,,,
Arnaud Kalimuendo,5.91,8.06,5.74,7.33,6.7,,,,,
Mahamadou Nagida,5.53,6.82,,,,,,,,
Christopher Wooh,7.01,5.52,7.06,8.16,,,,,,
Henrik Meister,7.96,,,,,,,,,
Amine Gouiri,7.17,7.49,5.84,7.36,8.38,6.24,6.91,7.01,,
Albert Grønbaek,7.36,,,,,,,,,
Jordan James,7.21,,,,,,,,,
Glen Kamara,6.61,,,,,,,,,
Adrien Truffert,5.6,6.99,6.48,6.69,5.99,,,,,
Mikail Maden,5.43,,,,,,,,,
Gauthier Gallon,7.07,,6.96,8.04,,,,,,
Mohamed Meité,6.5,,,,,,,,,
Aleksandr Golovin,8.66,8.56,6.22,8.31,6.38,7.34,6.0,,,
Lamine Camara,8.48,5.63,,,,,7.8,,,
Eliesse Ben Seghir,8.09,7.18,7.77,,,,,,,
Maghnes Akliouche,6.84,6.05,7.04,5.4,,,,,,
Vanderson,7.62,6.81,7.41,6.55,,,,,,
Philipp Köhn,8.12,8.0,,,,,,,,
Radosław Majecki,7.88,7.1,,,7.32,,,,,
Soungoutou Magassa,6.99,6.67,5.43,,,,,,,
Krépin Diatta,6.89,5.52,7.59,7.27,6.77,,,,,
Jordan Teze,6.74,,,,,,,,,
Christian Mawissa,6.43,5.69,6.01,,,,,,,
George Ilenikhena,6.75,,,,,,,,,
Kassoum Ouattara,5.85,6.31,,,,,,,,
Eliot Matazo,5.7,7.79,6.48,5.76,5.83,,,,,
Saïmon Bouabré,7.0,5.54,,,,,,,,
Junya Ito,7.57,8.24,7.17,,,,,,,
Yehvann Diouf,7.39,7.21,7.92,,7.85,,,,,
Joseph Okumu,6.39,6.04,,,,,,,,
Cédric Kipré,6.36,,,,,,,,,
Marshall Munetsi,5.65,5.7,5.77,7.31,7.84,6.64,,,,
Keito Nakamura,5.8,5.85,,,,,,,,
Valentin Atangana Edoa,6.65,6.27,7.76,,,,,,,
Oumar Diakité,7.37,7.3,,,,,,,,
Thibault De Smet,5.72,7.87,7.1,,7.43,,,,,
Teddy Teuma,7.59,8.75,,,,,,,,
